"code commune insee","nom de_la_commune","first_postal","libelle_d_acheminement","ligne_5","_geopoint"
"49068","CHAMPTOCE SUR LOIRE","49123","CHAMPTOCE SUR LOIRE",,"47.42841165,-0.8716983"
"49069","OREE D ANJOU","49270","OREE D ANJOU","CHAMPTOCEAUX","47.304249350000006,-1.21349745"
"49069","OREE D ANJOU","49270","OREE D ANJOU","LANDEMONT","47.304249350000006,-1.21349745"
"49069","OREE D ANJOU","49270","OREE D ANJOU","LA VARENNE","47.304249350000006,-1.21349745"
"49069","OREE D ANJOU","49270","OREE D ANJOU","ST CHRISTOPHE LA COUPERIE","47.304249350000006,-1.21349745"
"49069","OREE D ANJOU","49270","OREE D ANJOU","ST LAURENT DES AUTELS","47.304249350000006,-1.21349745"
"49069","OREE D ANJOU","49270","OREE D ANJOU","ST SAUVEUR DE LANDEMONT","47.304249350000006,-1.21349745"
"49069","OREE D ANJOU","49530","OREE D ANJOU","BOUZILLE","47.304249350000006,-1.21349745"
"49069","OREE D ANJOU","49530","OREE D ANJOU","DRAIN","47.304249350000006,-1.21349745"
"49069","OREE D ANJOU","49530","OREE D ANJOU","LIRE","47.304249350000006,-1.21349745"
"49070","CHANTELOUP LES BOIS","49340","CHANTELOUP LES BOIS",,"47.08587195,-0.69111985"
"49076","LA CHAPELLE ST LAUD","49140","LA CHAPELLE ST LAUD",,"47.61605095,-0.29489350000000003"
"49080","LES HAUTS D ANJOU","49330","LES HAUTS D ANJOU","BRISSARTHE","47.697018400000005,-0.549833"
"49080","LES HAUTS D ANJOU","49330","LES HAUTS D ANJOU","CHAMPIGNE","47.697018400000005,-0.549833"
"49080","LES HAUTS D ANJOU","49330","LES HAUTS D ANJOU","CHATEAUNEUF SUR SARTHE","47.697018400000005,-0.549833"
"49080","LES HAUTS D ANJOU","49330","LES HAUTS D ANJOU","CHERRE","47.697018400000005,-0.549833"
"49080","LES HAUTS D ANJOU","49330","LES HAUTS D ANJOU","CONTIGNE","47.697018400000005,-0.549833"
"49080","LES HAUTS D ANJOU","49330","LES HAUTS D ANJOU","MARIGNE","47.697018400000005,-0.549833"
"49080","LES HAUTS D ANJOU","49330","LES HAUTS D ANJOU","QUERRE","47.697018400000005,-0.549833"
"49080","LES HAUTS D ANJOU","49330","LES HAUTS D ANJOU","SOEURDRES","47.697018400000005,-0.549833"
"49082","CHAUDEFONDS SUR LAYON","49290","CHAUDEFONDS SUR LAYON",,"47.32672615,-0.72836615"
"49086","TERRANJOU","49380","TERRANJOU","CHAVAGNES","47.2689764,-0.44303865"
"49086","TERRANJOU","49380","TERRANJOU","NOTRE DAME D ALLENCON","47.2689764,-0.44303865"
"49086","TERRANJOU","49540","TERRANJOU","MARTIGNE BRIAND","47.2689764,-0.44303865"
"49089","CHAZE SUR ARGOS","49500","CHAZE SUR ARGOS",,"47.61114565,-0.89538485"
"49090","CHEFFES","49125","CHEFFES",,"47.62360385,-0.5126476"
"49092","CHEMILLE EN ANJOU","49120","CHEMILLE EN ANJOU","CHEMILLE MELAY","47.22106925,-0.69643995"
"49092","CHEMILLE EN ANJOU","49120","CHEMILLE EN ANJOU","COSSE D ANJOU","47.22106925,-0.69643995"
"49092","CHEMILLE EN ANJOU","49120","CHEMILLE EN ANJOU","LA CHAPELLE ROUSSELIN","47.22106925,-0.69643995"
"49092","CHEMILLE EN ANJOU","49120","CHEMILLE EN ANJOU","LA JUMELLIERE","47.22106925,-0.69643995"
